date,dailyCases,dailyHosp,dailyDeaths,Population,peak
2020-02-29,1,1,0,8804190,1
2020-03-01,0.5,1,0,8804190,1
2020-03-02,0.333333333333333,1.33333333333333,0,8804190,1
2020-03-03,0.5,2.75,0,8804190,1
2020-03-04,1.4,2.6,0,8804190,1
2020-03-05,1.66666666666667,4.5,0,8804190,1
2020-03-06,2.57142857142857,5,0,8804190,1
2020-03-07,3.42857142857143,6,0,8804190,1
2020-03-08,6.42857142857143,8.42857142857143,0,8804190,1
2020-03-09,14.5714285714286,13.2857142857143,0,8804190,1
2020-03-10,24.2857142857143,20.8571428571429,0,8804190,1
2020-03-11,45.7142857142857,31.8571428571429,0.142857142857143,8804190,1
2020-03-12,96,44.8571428571429,0.142857142857143,8804190,1
2020-03-13,183.285714285714,65.2857142857143,0.142857142857143,8804190,1
2020-03-14,274,89.2857142857143,0.428571428571429,8804190,1
2020-03-15,418.714285714286,116.714285714286,1,8804190,1
2020-03-16,713.571428571429,159.857142857143,2,8804190,1
2020-03-17,1053.85714285714,205.857142857143,3.14285714285714,8804190,1
2020-03-18,1456.14285714286,264.857142857143,5.85714285714286,8804190,1
2020-03-19,1934.85714285714,340,9.28571428571429,8804190,1
2020-03-20,2418.85714285714,423.142857142857,16,8804190,1
2020-03-21,2704.14285714286,502.571428571429,22,8804190,1
2020-03-22,2925,582.714285714286,28.4285714285714,8804190,1
2020-03-23,3132,696.142857142857,39.1428571428571,8804190,1
2020-03-24,3424.28571428571,826.571428571429,51.5714285714286,8804190,1
2020-03-25,3696.14285714286,959,66.5714285714286,8804190,1
2020-03-26,3887.28571428571,1087.28571428571,89.7142857142857,8804190,1
2020-03-27,4046.14285714286,1206.42857142857,114,8804190,1
2020-03-28,4166.14285714286,1298.42857142857,146.571428571429,8804190,1
2020-03-29,4306.14285714286,1402.71428571429,181,8804190,1
2020-03-30,4671.71428571429,1504.71428571429,215.428571428571,8804190,1
2020-03-31,4809,1574,257.285714285714,8804190,1
2020-04-01,4891,1619,303.285714285714,8804190,1
2020-04-02,4991.28571428571,1637.42857142857,348,8804190,1
2020-04-03,5070,1655.71428571429,388.285714285714,8804190,1
2020-04-04,5125.28571428571,1664.57142857143,422.428571428571,8804190,1
2020-04-05,5156.85714285714,1648.71428571429,463.571428571429,8804190,1
2020-04-06,5188.85714285714,1632.71428571429,499.714285714286,8804190,1
2020-04-07,5272.57142857143,1603.14285714286,529.714285714286,8804190,1
2020-04-08,5290.71428571429,1574.71428571429,547,8804190,1
2020-04-09,5194.14285714286,1528.71428571429,555.428571428571,8804190,1
2020-04-10,5028.42857142857,1469.14285714286,560.857142857143,8804190,1
2020-04-11,5009.28571428571,1411.57142857143,565.571428571429,8804190,1
2020-04-12,4881.57142857143,1347.71428571429,564.857142857143,8804190,1
2020-04-13,4447,1263.57142857143,563.714285714286,8804190,1
2020-04-14,4175.57142857143,1177.57142857143,550.857142857143,8804190,1
2020-04-15,3932.85714285714,1080.71428571429,534.857142857143,8804190,1
2020-04-16,3712.85714285714,1001,514.285714285714,8804190,1
2020-04-17,3580.85714285714,929.857142857143,492.428571428571,8804190,1
2020-04-18,3358,864.428571428571,470.428571428571,8804190,1
2020-04-19,3280.28571428571,805.714285714286,445.714285714286,8804190,1
2020-04-20,3349,730.857142857143,416.571428571429,8804190,1
2020-04-21,3194.42857142857,675,390.142857142857,8804190,1
2020-04-22,3133,625.285714285714,369.428571428571,8804190,1
2020-04-23,3034.57142857143,577,357.428571428571,8804190,1
2020-04-24,2884.42857142857,531.428571428571,347.428571428571,8804190,1
2020-04-25,2802,494.571428571429,329.571428571429,8804190,1
2020-04-26,2610.57142857143,462.428571428571,307.428571428571,8804190,1
2020-04-27,2396,425.857142857143,294,8804190,1
2020-04-28,2348,392.714285714286,280.571428571429,8804190,1
2020-04-29,2190,363.857142857143,270,8804190,1
2020-04-30,2073,336.714285714286,254.714285714286,8804190,1
2020-05-01,1980.42857142857,307.714285714286,239.857142857143,8804190,1
2020-05-02,1903.71428571429,290.857142857143,229,8804190,1
2020-05-03,1872.85714285714,277.571428571429,219.428571428571,8804190,1
2020-05-04,1767.14285714286,259.428571428571,203.428571428571,8804190,1
2020-05-05,1593.71428571429,240,192.285714285714,8804190,1
2020-05-06,1459,226,180,8804190,1
2020-05-07,1347,215.142857142857,168.285714285714,8804190,1
2020-05-08,1231.57142857143,201.857142857143,157,8804190,1
2020-05-09,1174.28571428571,190.285714285714,144.142857142857,8804190,1
2020-05-10,1127.14285714286,174.571428571429,133.285714285714,8804190,1
2020-05-11,1081.57142857143,166.285714285714,125.428571428571,8804190,1
2020-05-12,1049.14285714286,151.714285714286,116.857142857143,8804190,1
2020-05-13,1040,140,107.142857142857,8804190,1
2020-05-14,1021.71428571429,135.285714285714,97,8804190,1
2020-05-15,992.285714285714,129.714285714286,90.5714285714286,8804190,1
2020-05-16,967.714285714286,125.428571428571,88.4285714285714,8804190,1
2020-05-17,953.857142857143,122.142857142857,84.7142857142857,8804190,1
2020-05-18,905.857142857143,112,78.4285714285714,8804190,1
2020-05-19,865.571428571429,112.428571428571,73.2857142857143,8804190,1
2020-05-20,829,105.571428571429,72.7142857142857,8804190,1
2020-05-21,823.142857142857,97.4285714285714,69,8804190,1
2020-05-22,846.428571428571,93.7142857142857,66.1428571428571,8804190,1
2020-05-23,842.142857142857,91.4285714285714,62.7142857142857,8804190,1
2020-05-24,857.428571428571,92.1428571428571,58.7142857142857,8804190,1
2020-05-25,795.857142857143,87.8571428571429,57,8804190,1
2020-05-26,802.571428571429,82.2857142857143,54.2857142857143,8804190,1
2020-05-27,754.571428571429,81.8571428571429,49.8571428571429,8804190,1
2020-05-28,694.142857142857,81.1428571428571,49,8804190,1
2020-05-29,637.285714285714,78.8571428571429,45.7142857142857,8804190,1
2020-05-30,621.714285714286,76,44.5714285714286,8804190,1
2020-05-31,587.857142857143,72.2857142857143,43.2857142857143,8804190,1
2020-06-01,619.571428571429,72.5714285714286,41.4285714285714,8804190,1
2020-06-02,551,70.8571428571429,41.5714285714286,8804190,1
2020-06-03,518.714285714286,70.4285714285714,40.8571428571429,8804190,1
2020-06-04,500.285714285714,69.7142857142857,40.1428571428571,8804190,1
2020-06-05,466.571428571429,65.4285714285714,37.8571428571429,8804190,1
2020-06-06,452.428571428571,63,35.2857142857143,8804190,1
2020-06-07,447.714285714286,62.1428571428571,33.2857142857143,8804190,1
2020-06-08,413.571428571429,59.1428571428571,34,8804190,1
2020-06-09,392,59.5714285714286,33,8804190,1
2020-06-10,370.285714285714,58.1428571428571,31.4285714285714,8804190,1
2020-06-11,348.285714285714,54.7142857142857,29.7142857142857,8804190,1
2020-06-12,349.285714285714,54.4285714285714,29,8804190,1
2020-06-13,342,54.1428571428571,26.2857142857143,8804190,1
2020-06-14,339.571428571429,53,26,8804190,1
2020-06-15,330,51.8571428571429,23.2857142857143,8804190,1
2020-06-16,330,51.2857142857143,21.2857142857143,8804190,NA
2020-06-17,329,49.4285714285714,19.5714285714286,8804190,NA
2020-06-18,331.142857142857,50.4285714285714,18.7142857142857,8804190,NA
2020-06-19,324.285714285714,49.4285714285714,17.7142857142857,8804190,NA
2020-06-20,325.285714285714,48.1428571428571,18,8804190,NA
2020-06-21,324.142857142857,47.7142857142857,17.8571428571429,8804190,NA
2020-06-22,327.285714285714,47.1428571428571,17.5714285714286,8804190,NA
2020-06-23,321.857142857143,44.7142857142857,17.7142857142857,8804190,NA
2020-06-24,325.428571428571,45.1428571428571,17.4285714285714,8804190,NA
2020-06-25,314,43,17.4285714285714,8804190,NA
2020-06-26,307.714285714286,41.2857142857143,17.7142857142857,8804190,NA
2020-06-27,308.142857142857,43.5714285714286,17,8804190,NA
2020-06-28,312.285714285714,42,15.4285714285714,8804190,NA
2020-06-29,317.285714285714,41.8571428571429,15.1428571428571,8804190,NA
2020-06-30,325.857142857143,41.7142857142857,14.2857142857143,8804190,NA
2020-07-01,327.857142857143,39.5714285714286,13,8804190,NA
2020-07-02,344.714285714286,40.1428571428571,13.1428571428571,8804190,NA
2020-07-03,332.714285714286,39.7142857142857,12.2857142857143,8804190,NA
2020-07-04,320.428571428571,38,11.2857142857143,8804190,NA
2020-07-05,313.857142857143,37.4285714285714,10.8571428571429,8804190,NA
2020-07-06,313,38.4285714285714,9.57142857142857,8804190,NA
2020-07-07,315.857142857143,39,8.85714285714286,8804190,NA
2020-07-08,321.857142857143,38.4285714285714,9.42857142857143,8804190,NA
2020-07-09,318.428571428571,38.4285714285714,7.85714285714286,8804190,NA
2020-07-10,328.857142857143,40.4285714285714,7,8804190,NA
2020-07-11,348.714285714286,41,7.42857142857143,8804190,NA
2020-07-12,358.428571428571,40.7142857142857,6.85714285714286,8804190,NA
2020-07-13,365.857142857143,40,7.71428571428571,8804190,NA
2020-07-14,357.428571428571,39.4285714285714,8.28571428571429,8804190,NA
2020-07-15,357.857142857143,40.7142857142857,8.14285714285714,8804190,NA
2020-07-16,360.571428571429,39,8.28571428571429,8804190,NA
2020-07-17,375.857142857143,39.7142857142857,8.85714285714286,8804190,NA
2020-07-18,369.714285714286,38.5714285714286,9,8804190,NA
2020-07-19,363,40.2857142857143,9.42857142857143,8804190,NA
2020-07-20,351.285714285714,38.7142857142857,8.57142857142857,8804190,NA
2020-07-21,342.428571428571,36,8,8804190,NA
2020-07-22,326.571428571429,35.5714285714286,7.14285714285714,8804190,NA
2020-07-23,311.857142857143,35.2857142857143,7.28571428571429,8804190,NA
2020-07-24,295.428571428571,34,6.71428571428571,8804190,NA
2020-07-25,286.428571428571,35.2857142857143,6.85714285714286,8804190,NA
2020-07-26,281.285714285714,33.4285714285714,6.85714285714286,8804190,NA
2020-07-27,268.571428571429,33.2857142857143,6.28571428571429,8804190,NA
