date,dailyCases,dailyHosp,dailyDeaths,Population,peak
2020-02-23,0,0,0,1762949,NA
2020-02-24,0,0,0,1762949,NA
2020-02-25,0,0,0,1762949,NA
2020-02-26,0,0,0,1762949,NA
2020-02-27,0,0,0,1762949,NA
2020-02-28,0,0,0,1762949,NA
2020-02-29,0,0,0,1762949,NA
2020-03-01,0,0,0,1762949,NA
2020-03-02,0,0,0,1762949,NA
2020-03-03,0,0,0,1762949,NA
2020-03-04,0,0,0,1762949,NA
2020-03-05,0,0,0,1762949,NA
2020-03-06,1,0,0,1762949,NA
2020-03-07,0,0,0,1762949,1
2020-03-08,0,0,0,1762949,1
2020-03-09,0,0,0,1762949,1
2020-03-10,0,1,0,1762949,1
2020-03-11,2,0,0,1762949,1
2020-03-12,1,0,0,1762949,1
2020-03-13,1,1,0,1762949,1
2020-03-14,1,0,0,1762949,1
2020-03-15,2,0,0,1762949,1
2020-03-16,5,1,0,1762949,1
2020-03-17,2,1,0,1762949,1
2020-03-18,7,3,0,1762949,1
2020-03-19,28,1,0,1762949,1
2020-03-20,28,7,0,1762949,1
2020-03-21,88,9,0,1762949,1
2020-03-22,93,14,1,1762949,1
2020-03-23,128,3,0,1762949,1
2020-03-24,114,10,1,1762949,1
2020-03-25,131,11,1,1762949,1
2020-03-26,145,18,2,1762949,1
2020-03-27,199,20,2,1762949,1
2020-03-28,216,20,4,1762949,1
2020-03-29,248,22,5,1762949,1
2020-03-30,252,37,8,1762949,1
2020-03-31,300,44,9,1762949,1
2020-04-01,318,49,10,1762949,1
2020-04-02,345,37,11,1762949,1
2020-04-03,331,40,13,1762949,1
2020-04-04,361,36,19,1762949,1
2020-04-05,322,39,23,1762949,1
2020-04-06,338,39,29,1762949,1
2020-04-07,348,43,31,1762949,1
2020-04-08,372,46,36,1762949,1
2020-04-09,414,47,37,1762949,1
2020-04-10,379,51,40,1762949,1
2020-04-11,365,50,42,1762949,1
2020-04-12,352,49,44,1762949,1
2020-04-13,409,48,47,1762949,1
2020-04-14,527,52,51,1762949,1
2020-04-15,542,64,53,1762949,1
2020-04-16,547,65,53,1762949,1
2020-04-17,503,71,55,1762949,1
2020-04-18,466,62,55,1762949,1
2020-04-19,420,62,64,1762949,1
2020-04-20,370,68,68,1762949,1
2020-04-21,383,80,75,1762949,1
2020-04-22,408,87,69,1762949,1
2020-04-23,427,77,71,1762949,1
2020-04-24,449,68,69,1762949,1
2020-04-25,397,55,74,1762949,1
2020-04-26,362,51,73,1762949,1
2020-04-27,312,62,74,1762949,1
2020-04-28,365,78,76,1762949,1
2020-04-29,430,86,80,1762949,1
2020-04-30,475,76,82,1762949,1
2020-05-01,478,73,79,1762949,1
2020-05-02,445,61,75,1762949,1
2020-05-03,399,61,70,1762949,1
2020-05-04,337,58,68,1762949,1
2020-05-05,365,65,64,1762949,1
2020-05-06,410,64,63,1762949,1
2020-05-07,465,60,60,1762949,1
2020-05-08,421,57,57,1762949,1
2020-05-09,368,55,58,1762949,1
2020-05-10,307,50,58,1762949,1
2020-05-11,279,53,60,1762949,1
2020-05-12,297,53,56,1762949,1
2020-05-13,320,50,48,1762949,1
2020-05-14,357,43,47,1762949,1
2020-05-15,342,44,47,1762949,1
2020-05-16,332,42,49,1762949,1
2020-05-17,300,41,41,1762949,1
2020-05-18,284,38,35,1762949,1
2020-05-19,303,43,32,1762949,1
2020-05-20,309,45,36,1762949,1
2020-05-21,333,47,37,1762949,1
2020-05-22,293,42,42,1762949,1
2020-05-23,267,33,36,1762949,1
2020-05-24,225,28,35,1762949,1
2020-05-25,197,31,29,1762949,1
2020-05-26,181,33,30,1762949,1
2020-05-27,181,34,28,1762949,1
2020-05-28,190,29,33,1762949,1
2020-05-29,189,26,32,1762949,1
2020-05-30,179,20,29,1762949,1
2020-05-31,154,18,20,1762949,1
2020-06-01,125,19,18,1762949,1
2020-06-02,107,19,18,1762949,1
2020-06-03,107,19,18,1762949,1
2020-06-04,112,17,13,1762949,1
2020-06-05,106,16,13,1762949,1
2020-06-06,99,15,11,1762949,1
2020-06-07,83,15,12,1762949,1
2020-06-08,65,15,7,1762949,1
2020-06-09,60,15,6,1762949,1
2020-06-10,63,16,5,1762949,1
2020-06-11,71,12,8,1762949,1
2020-06-12,66,11,7,1762949,1
2020-06-13,57,9,8,1762949,1
2020-06-14,46,10,6,1762949,1
2020-06-15,43,7,5,1762949,1
2020-06-16,46,5,4,1762949,1
2020-06-17,50,6,3,1762949,1
2020-06-18,50,6,3,1762949,1
