date,dailyCases,dailyHosp,dailyDeaths,Population,peak
2020-02-29,1,1,0,8804190,NA
2020-03-01,0,1,0,8804190,NA
2020-03-02,0,2,0,8804190,1
2020-03-03,1,7,0,8804190,1
2020-03-04,5,2,0,8804190,1
2020-03-05,3,14,0,8804190,1
2020-03-06,8,8,0,8804190,1
2020-03-07,7,8,0,8804190,1
2020-03-08,21,18,0,8804190,1
2020-03-09,57,37,0,8804190,1
2020-03-10,69,60,0,8804190,1
2020-03-11,155,78,1,8804190,1
2020-03-12,355,106,0,8804190,1
2020-03-13,619,152,0,8804190,1
2020-03-14,642,177,3,8804190,1
2020-03-15,1034,210,4,8804190,1
2020-03-16,2121,338,9,8804190,1
2020-03-17,2451,385,12,8804190,1
2020-03-18,2971,494,24,8804190,1
2020-03-19,3706,631,27,8804190,1
2020-03-20,4007,738,49,8804190,1
2020-03-21,2639,734,51,8804190,1
2020-03-22,2580,773,52,8804190,1
2020-03-23,3570,1131,96,8804190,1
2020-03-24,4497,1301,107,8804190,1
2020-03-25,4873,1434,143,8804190,1
2020-03-26,5044,1535,229,8804190,1
2020-03-27,5119,1585,262,8804190,1
2020-03-28,3478,1394,323,8804190,1
2020-03-29,3560,1509,356,8804190,1
2020-03-30,4666,1576,317,8804190,1
2020-03-31,4749,1632,366,8804190,1
2020-04-01,4815,1669,425,8804190,1
2020-04-02,5268,1727,496,8804190,1
2020-04-03,5690,1768,560,8804190,1
2020-04-04,5238,1688,620,8804190,1
2020-04-05,4902,1606,676,8804190,1
2020-04-06,5083,1602,728,8804190,1
2020-04-07,5143,1584,759,8804190,1
2020-04-08,5124,1553,780,8804190,1
2020-04-09,5365,1532,791,8804190,1
2020-04-10,5510,1509,788,8804190,1
2020-04-11,4986,1369,770,8804190,1
2020-04-12,4355,1241,755,8804190,1
2020-04-13,3902,1160,752,8804190,1
2020-04-14,3717,1086,731,8804190,1
2020-04-15,3590,1001,698,8804190,1
2020-04-16,3550,948,663,8804190,1
2020-04-17,3689,915,610,8804190,1
2020-04-18,3462,801,559,8804190,1
2020-04-19,3101,711,526,8804190,1
2020-04-20,3085,666,503,8804190,1
2020-04-21,2991,627,477,8804190,1
2020-04-22,2963,573,459,8804190,1
2020-04-23,3097,546,440,8804190,1
2020-04-24,3135,534,417,8804190,1
2020-04-25,2696,471,389,8804190,1
2020-04-26,2284,415,364,8804190,1
2020-04-27,2053,385,348,8804190,1
2020-04-28,2030,367,319,8804190,1
2020-04-29,1991,335,298,8804190,1
2020-04-30,2076,320,283,8804190,1
2020-05-01,2252,311,274,8804190,1
2020-05-02,2006,279,255,8804190,1
2020-05-03,1618,251,243,8804190,1
2020-05-04,1460,236,228,8804190,1
2020-05-05,1358,228,211,8804190,1
2020-05-06,1261,218,196,8804190,1
2020-05-07,1297,212,183,8804190,1
2020-05-08,1355,202,172,8804190,1
2020-05-09,1177,178,155,8804190,1
2020-05-10,966,157,144,8804190,1
2020-05-11,932,150,132,8804190,1
2020-05-12,942,137,121,8804190,1
2020-05-13,993,130,109,8804190,1
2020-05-14,1083,134,104,8804190,1
2020-05-15,1167,139,101,8804190,1
2020-05-16,1017,121,97,8804190,1
2020-05-17,832,114,93,8804190,1
2020-05-18,745,110,88,8804190,1
2020-05-19,723,105,84,8804190,1
2020-05-20,764,95,81,8804190,1
2020-05-21,880,94,71,8804190,1
2020-05-22,1016,98,69,8804190,1
2020-05-23,928,91,68,8804190,1
2020-05-24,821,85,66,8804190,1
2020-05-25,698,85,60,8804190,1
2020-05-26,694,83,58,8804190,1
2020-05-27,635,78,53,8804190,1
2020-05-28,673,79,48,8804190,1
2020-05-29,708,79,48,8804190,1
2020-05-30,684,74,48,8804190,1
2020-05-31,520,70,48,8804190,1
2020-06-01,509,72,46,8804190,1
2020-06-02,494,69,47,8804190,1
2020-06-03,469,66,45,8804190,1
2020-06-04,504,71,42,8804190,1
2020-06-05,538,69,40,8804190,1
2020-06-06,450,61,39,8804190,1
2020-06-07,376,59,36,8804190,1
2020-06-08,362,57,36,8804190,1
2020-06-09,342,55,35,8804190,1
2020-06-10,335,57,36,8804190,1
2020-06-11,358,59,34,8804190,1
2020-06-12,400,58,34,8804190,1
2020-06-13,350,53,28,8804190,1
2020-06-14,302,50,26,8804190,1
2020-06-15,306,47,22,8804190,1
2020-06-16,317,49,21,8804190,1
2020-06-17,306,49,20,8804190,1
2020-06-18,343,53,20,8804190,1
2020-06-19,379,53,18,8804190,1
2020-06-20,343,47,18,8804190,1
2020-06-21,294,44,18,8804190,1
2020-06-22,303,44,18,8804190,1
2020-06-23,304,41,18,8804190,1
2020-06-24,308,43,19,8804190,1
2020-06-25,327,46,19,8804190,1
2020-06-26,356,44,18,8804190,1
2020-06-27,317,43,18,8804190,1
2020-06-28,281,41,16,8804190,1
2020-06-29,292,40,16,8804190,1
2020-06-30,321,40,15,8804190,1
2020-07-01,336,41,14,8804190,NA
2020-07-02,378,42,14,8804190,NA
2020-07-03,385,41,14,8804190,NA
2020-07-04,321,38,11,8804190,NA
2020-07-05,264,35,11,8804190,NA
2020-07-06,271,38,11,8804190,NA
2020-07-07,280,38,9,8804190,NA
2020-07-08,321,39,10,8804190,NA
2020-07-09,375,42,10,8804190,NA
2020-07-10,405,45,9,8804190,NA
2020-07-11,371,41,8,8804190,NA
2020-07-12,323,37,8,8804190,NA
2020-07-13,333,40,8,8804190,NA
2020-07-14,335,39,9,8804190,NA
2020-07-15,362,39,11,8804190,NA
2020-07-16,392,39,10,8804190,NA
2020-07-17,430,44,11,8804190,NA
2020-07-18,377,39,10,8804190,NA
2020-07-19,331,38,10,8804190,NA
2020-07-20,324,37,9,8804190,NA
2020-07-21,310,35,9,8804190,NA
2020-07-22,293,33,9,8804190,NA
2020-07-23,311,35,8,8804190,NA
2020-07-24,336,35,7,8804190,NA
2020-07-25,286,34,8,8804190,NA
2020-07-26,246,35,8,8804190,NA
2020-07-27,243,34,7,8804190,NA
2020-07-28,244,35,8,8804190,NA
2020-07-29,241,33,8,8804190,NA
2020-07-30,265,34,7,8804190,NA
2020-07-31,290,35,6,8804190,NA
2020-08-01,265,33,7,8804190,NA
2020-08-02,229,32,5,8804190,NA
2020-08-03,242,34,4,8804190,NA
2020-08-04,224,33,4,8804190,NA
2020-08-05,231,34,5,8804190,NA
2020-08-06,251,35,4,8804190,NA
2020-08-07,275,33,4,8804190,NA
2020-08-08,238,30,5,8804190,NA
2020-08-09,227,28,4,8804190,NA
2020-08-10,230,29,4,8804190,NA
2020-08-11,225,27,4,8804190,NA
2020-08-12,238,29,4,8804190,NA
2020-08-13,261,32,4,8804190,NA
2020-08-14,290,35,4,8804190,NA
2020-08-15,257,31,4,8804190,NA
2020-08-16,233,30,4,8804190,NA
2020-08-17,235,31,5,8804190,NA
2020-08-18,237,31,4,8804190,NA
2020-08-19,233,30,4,8804190,NA
2020-08-20,248,33,4,8804190,NA
2020-08-21,270,35,4,8804190,NA
2020-08-22,231,34,4,8804190,NA
2020-08-23,204,31,4,8804190,NA
2020-08-24,212,31,6,8804190,NA
2020-08-25,224,31,5,8804190,NA
2020-08-26,236,31,6,8804190,NA
2020-08-27,263,32,4,8804190,NA
2020-08-28,289,31,5,8804190,NA
2020-08-29,256,29,4,8804190,NA
2020-08-30,236,25,5,8804190,NA
2020-08-31,237,27,4,8804190,NA
2020-09-01,241,25,4,8804190,2
2020-09-02,239,27,4,8804190,2
2020-09-03,268,26,4,8804190,2
2020-09-04,276,28,4,8804190,2
2020-09-05,245,24,4,8804190,2
2020-09-06,227,26,5,8804190,2
2020-09-07,216,24,4,8804190,2
2020-09-08,240,26,3,8804190,2
2020-09-09,265,26,3,8804190,2
2020-09-10,299,26,3,8804190,2
2020-09-11,320,27,3,8804190,2
2020-09-12,317,25,4,8804190,2
2020-09-13,291,23,4,8804190,2
2020-09-14,312,23,4,8804190,2
2020-09-15,331,24,5,8804190,2
2020-09-16,359,27,5,8804190,2
2020-09-17,407,32,4,8804190,2
2020-09-18,413,36,4,8804190,2
2020-09-19,364,33,4,8804190,2
2020-09-20,325,32,4,8804190,2
2020-09-21,346,29,4,8804190,2
2020-09-22,357,29,4,8804190,2
2020-09-23,421,29,4,8804190,2
2020-09-24,486,33,4,8804190,2
2020-09-25,534,38,4,8804190,2
2020-09-26,479,37,4,8804190,2
2020-09-27,456,38,4,8804190,2
2020-09-28,421,38,4,8804190,2
2020-09-29,457,39,5,8804190,2
2020-09-30,486,40,6,8804190,2
2020-10-01,571,43,6,8804190,2
2020-10-02,615,46,6,8804190,2
2020-10-03,588,43,6,8804190,2
2020-10-04,510,42,6,8804190,2
2020-10-05,542,43,5,8804190,2
2020-10-06,515,44,4,8804190,2
2020-10-07,502,44,4,8804190,2
2020-10-08,548,48,4,8804190,2
2020-10-09,586,50,3,8804190,2
2020-10-10,495,47,4,8804190,2
2020-10-11,437,47,5,8804190,2
2020-10-12,432,48,5,8804190,2
2020-10-13,444,49,5,8804190,2
2020-10-14,456,49,6,8804190,2
2020-10-15,514,57,7,8804190,2
2020-10-16,559,56,7,8804190,2
2020-10-17,529,53,7,8804190,2
2020-10-18,494,51,7,8804190,2
2020-10-19,502,53,7,8804190,2
2020-10-20,502,53,6,8804190,2
2020-10-21,532,54,6,8804190,2
2020-10-22,610,58,5,8804190,2
2020-10-23,648,62,5,8804190,2
2020-10-24,600,57,4,8804190,2
2020-10-25,552,51,5,8804190,2
2020-10-26,561,52,5,8804190,2
2020-10-27,557,51,6,8804190,2
2020-10-28,593,48,6,8804190,2
2020-10-29,640,50,7,8804190,2
2020-10-30,699,53,7,8804190,2
2020-10-31,640,52,6,8804190,2
2020-11-01,592,53,7,8804190,2
2020-11-02,626,57,8,8804190,2
2020-11-03,683,60,10,8804190,2
2020-11-04,775,62,10,8804190,2
2020-11-05,922,70,11,8804190,2
2020-11-06,1029,71,11,8804190,2
2020-11-07,1007,71,12,8804190,2
2020-11-08,984,69,10,8804190,2
2020-11-09,1071,71,10,8804190,2
2020-11-10,1163,72,9,8804190,2
2020-11-11,1263,79,9,8804190,2
2020-11-12,1394,83,9,8804190,2
2020-11-13,1536,88,9,8804190,2
2020-11-14,1432,92,10,8804190,2
2020-11-15,1291,93,11,8804190,2
2020-11-16,1350,98,11,8804190,2
2020-11-17,1395,103,10,8804190,2
2020-11-18,1447,108,11,8804190,2
2020-11-19,1614,115,11,8804190,2
2020-11-20,1789,123,10,8804190,2
2020-11-21,1681,122,10,8804190,2
2020-11-22,1564,124,11,8804190,2
2020-11-23,1677,130,11,8804190,2
2020-11-24,1720,130,13,8804190,2
2020-11-25,1840,131,13,8804190,2
2020-11-26,1745,139,13,8804190,2
2020-11-27,1976,147,14,8804190,2
2020-11-28,1880,143,14,8804190,2
2020-11-29,1844,149,13,8804190,2
2020-11-30,1948,158,15,8804190,2
2020-12-01,2447,167,18,8804190,2
2020-12-02,2613,171,20,8804190,2
2020-12-03,2834,189,21,8804190,2
2020-12-04,3019,193,24,8804190,2
2020-12-05,2817,191,25,8804190,2
2020-12-06,2507,185,24,8804190,2
2020-12-07,2541,195,23,8804190,2
2020-12-08,2564,195,24,8804190,2
2020-12-09,2622,214,24,8804190,2
2020-12-10,2874,228,25,8804190,2
2020-12-11,3119,242,26,8804190,2
2020-12-12,2899,239,29,8804190,2
2020-12-13,2723,241,31,8804190,2
2020-12-14,2818,238,31,8804190,2
2020-12-15,2925,237,32,8804190,2
2020-12-16,2887,231,34,8804190,2
2020-12-17,2831,235,35,8804190,2
2020-12-18,3081,245,37,8804190,2
2020-12-19,2876,239,38,8804190,2
2020-12-20,2609,241,38,8804190,2
2020-12-21,2919,264,39,8804190,2
2020-12-22,3355,275,42,8804190,2
2020-12-23,3438,281,42,8804190,2
2020-12-24,3530,289,44,8804190,2
2020-12-25,3270,293,45,8804190,2
2020-12-26,3093,279,44,8804190,2
2020-12-27,2849,270,42,8804190,2
2020-12-28,3159,281,43,8804190,2
2020-12-29,3597,290,45,8804190,2
