date,dailyCases,dailyDeaths,dailyHosp,Population,peak
2020-03-11,1,0,NA,2701767,NA
2020-03-12,1,0,NA,2701767,NA
2020-03-13,3,0,NA,2701767,1
2020-03-14,2,0,NA,2701767,1
2020-03-15,3,0,NA,2701767,1
2020-03-16,4,0,NA,2701767,1
2020-03-17,7,0,NA,2701767,1
2020-03-18,11,0,NA,2701767,1
2020-03-19,15,0,NA,2701767,1
2020-03-20,17,0,NA,2701767,1
2020-03-21,24,0,NA,2701767,1
2020-03-22,31,0,NA,2701767,1
2020-03-23,37,0,NA,2701767,1
2020-03-24,46,0,NA,2701767,1
2020-03-25,59,0,NA,2701767,1
2020-03-26,79,0,NA,2701767,1
2020-03-27,107,1,NA,2701767,1
2020-03-28,136,1,NA,2701767,1
2020-03-29,178,1,NA,2701767,1
2020-03-30,204,1,NA,2701767,1
2020-03-31,252,1,NA,2701767,1
2020-04-01,276,2,NA,2701767,1
2020-04-02,319,3,111,2701767,1
2020-04-03,357,4,59,2701767,1
2020-04-04,396,4,108,2701767,1
2020-04-05,382,4,89,2701767,1
2020-04-06,425,6,76,2701767,1
2020-04-07,429,6,107,2701767,1
2020-04-08,435,6,99,2701767,1
2020-04-09,431,7,79,2701767,1
2020-04-10,420,9,73,2701767,1
2020-04-10,402,11,99,2701767,1
2020-04-11,431,12,80,2701767,1
2020-04-12,399,11,74,2701767,1
2020-04-12,377,11,60,2701767,1
2020-04-13,386,12,80,2701767,1
2020-04-13,381,11,69,2701767,1
2020-04-14,360,14,84,2701767,1
2020-04-14,338,16,86,2701767,1
2020-04-15,324,16,77,2701767,1
2020-04-16,318,20,74,2701767,1
2020-04-16,312,23,83,2701767,1
2020-04-17,326,23,74,2701767,1
2020-04-17,340,23,101,2701767,1
2020-04-18,335,19,93,2701767,1
2020-04-18,331,14,71,2701767,1
2020-04-19,324,14,58,2701767,1
2020-04-20,330,12,92,2701767,1
2020-04-21,350,10,72,2701767,1
2020-04-22,293,9,71,2701767,1
2020-04-22,236,8,91,2701767,1
2020-04-23,266,12,82,2701767,1
2020-04-23,297,16,86,2701767,1
2020-04-24,301,17,85,2701767,1
2020-04-25,269,16,84,2701767,1
2020-04-25,223,16,95,2701767,1
2020-04-26,259,16,79,2701767,1
2020-04-26,294,15,52,2701767,1
2020-04-27,264,11,50,2701767,1
2020-04-27,233,7,53,2701767,1
2020-04-28,222,8,71,2701767,1
2020-04-28,248,10,74,2701767,1
2020-04-29,250,11,64,2701767,1
2020-04-29,214,12,75,2701767,1
2020-04-30,185,13,58,2701767,1
2020-04-30,173,15,69,2701767,1
2020-05-01,188,16,79,2701767,1
2020-05-01,197,13,86,2701767,1
2020-05-02,195,11,68,2701767,1
2020-05-03,201,10,46,2701767,1
2020-05-03,208,8,56,2701767,1
2020-05-04,234,7,47,2701767,1
2020-05-04,259,7,68,2701767,1
2020-05-05,232,10,80,2701767,1
2020-05-05,204,13,67,2701767,1
2020-05-06,191,15,71,2701767,1
2020-05-06,191,19,84,2701767,1
2020-05-07,201,22,71,2701767,1
2020-05-07,187,23,68,2701767,1
2020-05-08,153,24,67,2701767,1
2020-05-09,159,22,71,2701767,1
2020-05-09,165,20,81,2701767,1
2020-05-10,168,17,58,2701767,1
2020-05-10,171,14,64,2701767,1
2020-05-11,163,11,58,2701767,1
2020-05-11,155,9,74,2701767,1
2020-05-12,175,9,50,2701767,1
2020-05-12,181,9,76,2701767,1
2020-05-13,168,9,54,2701767,1
2020-05-13,156,10,54,2701767,1
2020-05-14,171,12,67,2701767,1
2020-05-14,188,14,47,2701767,1
2020-05-15,203,15,60,2701767,1
2020-05-15,210,15,62,2701767,1
2020-05-16,230,14,23,2701767,1
2020-05-16,269,14,74,2701767,1
2020-05-17,299,12,NA,2701767,1
2020-05-18,289,11,52,2701767,1
2020-05-19,261,10,70,2701767,1
2020-05-20,236,8,NA,2701767,1
2020-05-21,245,10,NA,2701767,1
2020-05-22,216,10,NA,2701767,1
2020-05-23,190,10,67,2701767,1
2020-05-24,170,10,NA,2701767,1
2020-05-25,169,10,NA,2701767,1
2020-05-26,176,8,42,2701767,1
2020-05-27,171,11,59,2701767,1
2020-05-28,147,10,48,2701767,1
2020-05-29,160,11,71,2701767,1
2020-05-30,162,11,NA,2701767,1
2020-05-31,165,10,39,2701767,1
2020-06-01,157,10,61,2701767,2
2020-06-02,151,13,58,2701767,2
2020-06-03,176,11,60,2701767,2
2020-06-04,198,11,82,2701767,2
2020-06-05,203,11,56,2701767,2
2020-06-06,211,10,NA,2701767,2
2020-06-07,221,10,NA,2701767,2
2020-06-08,231,10,60,2701767,2
2020-06-09,251,8,NA,2701767,2
2020-06-10,261,8,65,2701767,2
2020-06-11,253,8,54,2701767,2
2020-06-12,260,7,58,2701767,2
2020-06-12,271,8,95,2701767,2
2020-06-13,345,10,NA,2701767,2
2020-06-14,355,10,NA,2701767,2
2020-06-15,363,9,99,2701767,2
2020-06-16,399,11,101,2701767,2
2020-06-17,436,9,101,2701767,2
2020-06-18,473,9,115,2701767,2
2020-06-19,501,8,103,2701767,2
2020-06-20,493,8,110,2701767,2
2020-06-21,554,9,NA,2701767,2
2020-06-22,578,9,154,2701767,2
2020-06-23,583,8,164,2701767,2
2020-06-24,644,11,160,2701767,2
2020-06-25,688,11,187,2701767,2
2020-06-26,832,12,160,2701767,2
2020-06-27,926,11,162,2701767,2
2020-06-27,1020,10,182,2701767,2
2020-06-28,1263,10,160,2701767,2
2020-06-29,1396,11,174,2701767,2
2020-06-30,1487,10,211,2701767,2
2020-07-01,1524,10,251,2701767,2
2020-07-02,1634,11,218,2701767,2
2020-07-03,1731,13,204,2701767,2
2020-07-04,1881,13,NA,2701767,2
2020-07-05,1900,13,221,2701767,2
2020-07-06,1968,11,239,2701767,2
2020-07-07,2034,10,NA,2701767,2
2020-07-08,2288,10,214,2701767,2
2020-07-09,2243,11,238,2701767,2
2020-07-10,2290,12,260,2701767,2
2020-07-11,2306,14,NA,2701767,2
2020-07-12,2491,14,269,2701767,2
2020-07-13,2675,14,267,2701767,2
2020-07-14,2678,17,281,2701767,2
2020-07-15,2621,20,274,2701767,2
2020-07-16,2781,22,252,2701767,2
