"Date du décès","RI et Autre","Domicile et Inconnu","RPA","CHSLD et CH"
"2020-03-17 00:00:00",0,0,0,0
"2020-03-18 00:00:00",0,0,0,1
"2020-03-19 00:00:00",0,0,0,0
"2020-03-20 00:00:00",0,0,0,0
"2020-03-21 00:00:00",0,0,0,0
"2020-03-22 00:00:00",0,0,0,0
"2020-03-23 00:00:00",0,1,0,1
"2020-03-24 00:00:00",0,0,0,1
"2020-03-25 00:00:00",0,0,0,3
"2020-03-26 00:00:00",0,3,1,2
"2020-03-27 00:00:00",0,0,0,0
"2020-03-28 00:00:00",0,0,1,5
"2020-03-29 00:00:00",0,0,1,6
"2020-03-30 00:00:00",0,3,1,8
"2020-03-31 00:00:00",2,1,0,9
"2020-04-01 00:00:00",0,1,1,12
"2020-04-02 00:00:00",1,2,2,15
"2020-04-03 00:00:00",0,1,2,19
"2020-04-04 00:00:00",1,3,3,21
"2020-04-05 00:00:00",1,0,4,26
"2020-04-06 00:00:00",2,4,0,26
"2020-04-07 00:00:00",1,2,3,35
"2020-04-08 00:00:00",0,5,2,32
"2020-04-09 00:00:00",1,4,4,32
"2020-04-10 00:00:00",2,2,6,35
"2020-04-11 00:00:00",3,1,4,36
"2020-04-12 00:00:00",2,4,3,42
"2020-04-13 00:00:00",3,8,9,38
"2020-04-14 00:00:00",2,5,10,40
"2020-04-15 00:00:00",0,6,9,46
"2020-04-16 00:00:00",0,2,7,51
"2020-04-17 00:00:00",3,9,4,48
"2020-04-18 00:00:00",1,3,6,46
"2020-04-19 00:00:00",1,6,10,79
"2020-04-20 00:00:00",2,0,7,66
"2020-04-21 00:00:00",1,3,8,69
"2020-04-22 00:00:00",1,3,6,63
"2020-04-23 00:00:00",7,6,8,57
"2020-04-24 00:00:00",1,5,8,60
"2020-04-25 00:00:00",0,4,11,66
"2020-04-26 00:00:00",2,5,9,61
"2020-04-27 00:00:00",8,2,6,60
"2020-04-28 00:00:00",3,3,8,72
"2020-04-29 00:00:00",4,10,11,74
"2020-04-30 00:00:00",5,8,8,56
"2020-05-01 00:00:00",3,4,11,67
"2020-05-02 00:00:00",7,5,10,54
"2020-05-03 00:00:00",5,5,8,43
"2020-05-04 00:00:00",0,8,9,54
