Date,County,TotalBeds,AvailableBeds,HospitalCapacity,Hospitalized,ICU,Ventilated,AdmitPrevDay,DischPrevDay,DeltaAdmit
4/2/2020,MIAMI-DADE,9455,NA,NA,320,130,116,NA,NA,NA
4/3/2020,MIAMI-DADE,9455,NA,NA,346,133,116,111,33,78
4/4/2020,MIAMI-DADE,9455,NA,NA,416,133,112,59,37,22
4/5/2020,MIAMI-DADE,9455,NA,NA,533,188,146,108,19,89
4/6/2020,MIAMI-DADE,9455,NA,NA,516,178,151,89,21,68
4/7/2020,MIAMI-DADE,9455,NA,NA,591,199,167,76,28,48
4/8/2020,MIAMI-DADE,9455,NA,NA,636,215,166,107,32,75
4/9/2020,MIAMI-DADE,9455,NA,NA,634,232,170,99,61,38
4/10/2020,MIAMI-DADE,9455,4977,0.5263882,681,245,172,79,37,42
4/10/2020,MIAMI-DADE,9455,NA,NA,676,251,183,73,36,37
4/11/2020,MIAMI-DADE,9455,NA,NA,671,238,177,99,64,35
4/12/2020,MIAMI-DADE,9455,NA,NA,672,243,192,80,59,21
4/12/2020,MIAMI-DADE,9455,NA,NA,714,245,183,60,61,-1
4/13/2020,MIAMI-DADE,9455,NA,NA,653,247,184,74,47,27
4/13/2020,MIAMI-DADE,9455,NA,NA,695,251,184,80,48,32
4/14/2020,MIAMI-DADE,9455,3264,0.3452142,653,204,146,69,41,28
4/14/2020,MIAMI-DADE,9455,3483,0.3683765,712,249,174,86,66,20
4/15/2020,MIAMI-DADE,9455,3325,0.3516658,693,234,169,84,76,8
4/16/2020,MIAMI-DADE,9455,3341,0.353358,714,223,176,77,84,-7
4/16/2020,MIAMI-DADE,9455,3604,0.381174,736,226,176,74,111,-37
4/17/2020,MIAMI-DADE,9455,3570,0.377578,706,213,172,83,107,-24
4/17/2020,MIAMI-DADE,9455,3471,0.3671074,797,285,170,74,88,-14
4/18/2020,MIAMI-DADE,9455,3455,0.3654151,697,221,170,101,137,-36
4/18/2020,MIAMI-DADE,9455,3561,0.3766261,697,219,170,93,138,-45
4/19/2020,MIAMI-DADE,9455,3507,0.3709149,730,223,170,71,105,-34
4/20/2020,MIAMI-DADE,9455,3410,0.3606557,727,210,167,58,64,-6
4/21/2020,MIAMI-DADE,9455,3468,0.3667901,759,205,155,92,81,11
4/22/2020,MIAMI-DADE,9455,3260,0.3447911,743,196,148,72,88,-16
4/22/2020,MIAMI-DADE,9455,3410,0.3606557,722,194,139,71,121,-50
4/23/2020,MIAMI-DADE,9455,3378,0.3572713,706,186,129,91,62,29
4/23/2020,MIAMI-DADE,9455,3541,0.3745108,728,192,139,82,65,17
4/24/2020,MIAMI-DADE,9455,3193,0.3377049,694,173,125,86,66,20
4/25/2020,MIAMI-DADE,9455,3383,0.3578001,699,182,133,85,50,35
4/25/2020,MIAMI-DADE,9455,3288,0.3477525,705,178,133,84,51,33
4/26/2020,MIAMI-DADE,9455,3231,0.341724,752,176,115,95,34,61
4/26/2020,MIAMI-DADE,9455,3250,0.3437335,747,177,116,79,32,47
4/27/2020,MIAMI-DADE,9455,3266,0.3454257,728,163,114,52,23,29
4/27/2020,MIAMI-DADE,9455,3278,0.3466949,725,162,115,50,26,24
4/28/2020,MIAMI-DADE,9455,3045,0.3220518,763,204,128,53,43,10
4/28/2020,MIAMI-DADE,9455,2996,0.3168694,776,203,127,71,52,19
4/29/2020,MIAMI-DADE,9455,2927,0.3095717,746,204,119,74,48,26
4/29/2020,MIAMI-DADE,9455,2916,0.3084082,747,196,120,75,44,31
4/30/2020,MIAMI-DADE,9455,3006,0.317927,735,167,108,64,61,3
4/30/2020,MIAMI-DADE,9455,3001,0.3173982,735,168,108,58,63,-5
5/1/2020,MIAMI-DADE,9455,3266,0.3454257,733,177,110,69,76,-7
5/1/2020,MIAMI-DADE,9455,3274,0.3462718,724,171,110,79,77,2
5/2/2020,MIAMI-DADE,9455,3230,0.3416182,715,168,107,86,72,14
5/3/2020,MIAMI-DADE,9455,3344,0.3536753,707,181,103,68,134,-66
5/3/2020,MIAMI-DADE,9455,3335,0.3527234,697,179,102,56,132,-76
5/4/2020,MIAMI-DADE,9455,3114,0.3293496,702,170,105,46,29,17
5/4/2020,MIAMI-DADE,9455,3118,0.3297726,692,167,103,47,33,14
5/5/2020,MIAMI-DADE,9455,2950,0.3120042,674,157,84,68,76,-8
5/5/2020,MIAMI-DADE,9455,2954,0.3124273,677,156,84,67,74,-7
5/6/2020,MIAMI-DADE,9455,2926,0.3094659,660,142,80,80,68,12
5/6/2020,MIAMI-DADE,9455,2930,0.3098889,658,142,80,84,72,12
5/7/2020,MIAMI-DADE,9455,2867,0.3032258,661,137,75,71,65,6
5/7/2020,MIAMI-DADE,9455,2870,0.3035431,658,136,75,71,65,6
5/8/2020,MIAMI-DADE,9455,3023,0.319725,643,130,78,68,64,4
5/9/2020,MIAMI-DADE,9526,3056,0.3208062,817,128,79,67,185,-118
5/9/2020,MIAMI-DADE,9526,3049,0.3200714,649,129,79,71,180,-109
5/10/2020,MIAMI-DADE,9526,3017,0.3167122,662,133,77,81,35,46
5/10/2020,MIAMI-DADE,9526,3073,0.3225908,667,127,77,64,31,33
5/11/2020,MIAMI-DADE,9526,3214,0.3373924,695,121,74,58,23,35
5/11/2020,MIAMI-DADE,9526,3214,0.3373924,695,121,74,58,23,35
5/12/2020,MIAMI-DADE,9526,2889,0.3032752,698,123,82,74,49,25
