date,dailyCases,dailyHosp,dailyDeaths,Population,peak
2020-02-23,0,0,0,1762949,NA
2020-02-24,0,0,0,1762949,NA
2020-02-25,0,0,0,1762949,NA
2020-02-26,0,0,0,1762949,NA
2020-02-27,0,0,0,1762949,NA
2020-02-28,0,0,0,1762949,NA
2020-02-29,0,0,0,1762949,NA
2020-03-01,0,0,0,1762949,NA
2020-03-02,0,0,0,1762949,NA
2020-03-03,0,0,0,1762949,NA
2020-03-04,0,0,0,1762949,NA
2020-03-05,0,0,0,1762949,NA
2020-03-06,1,0,0,1762949,NA
2020-03-07,0,0,0,1762949,1
2020-03-08,0,0,0,1762949,1
2020-03-09,0,0,0,1762949,1
2020-03-10,0,1,0,1762949,1
2020-03-11,2,0,0,1762949,1
2020-03-12,1,0,0,1762949,1
2020-03-13,1,1,0,1762949,1
2020-03-14,1,0,0,1762949,1
2020-03-15,1,0,0,1762949,1
2020-03-16,2,1,0,1762949,1
2020-03-17,2,1,0,1762949,1
2020-03-18,3,1,0,1762949,1
2020-03-19,7,1,0,1762949,1
2020-03-20,10,2,0,1762949,1
2020-03-21,23,3,0,1762949,1
2020-03-22,36,5,1,1762949,1
2020-03-23,53,5,0,1762949,1
2020-03-24,70,7,2,1762949,1
2020-03-25,90,9,2,1762949,1
2020-03-26,110,12,3,1762949,1
2020-03-27,147,14,1,1762949,1
2020-03-28,162,15,7,1762949,1
2020-03-29,187,17,7,1762949,1
2020-03-30,211,27,10,1762949,1
2020-03-31,242,30,10,1762949,1
2020-04-01,267,34,10,1762949,1
2020-04-02,296,35,13,1762949,1
2020-04-03,298,38,17,1762949,1
2020-04-04,329,40,28,1762949,1
2020-04-05,328,42,24,1762949,1
2020-04-06,335,39,34,1762949,1
2020-04-07,350,40,36,1762949,1
2020-04-08,351,41,37,1762949,1
2020-04-09,365,43,39,1762949,1
2020-04-10,370,45,44,1762949,1
2020-04-11,353,47,42,1762949,1
2020-04-12,378,48,46,1762949,1
2020-04-13,401,49,52,1762949,1
2020-04-14,429,51,55,1762949,1
2020-04-15,451,55,52,1762949,1
2020-04-16,458,57,53,1762949,1
2020-04-17,482,60,60,1762949,1
2020-04-18,494,60,51,1762949,1
2020-04-19,487,62,80,1762949,1
2020-04-20,466,68,72,1762949,1
2020-04-21,432,72,72,1762949,1
2020-04-22,430,72,64,1762949,1
2020-04-23,414,73,77,1762949,1
2020-04-24,409,70,67,1762949,1
2020-04-25,400,69,78,1762949,1
2020-04-26,389,68,74,1762949,1
2020-04-27,384,68,70,1762949,1
2020-04-28,392,68,84,1762949,1
2020-04-29,399,68,85,1762949,1
2020-04-30,405,67,78,1762949,1
2020-05-01,404,70,74,1762949,1
2020-05-02,419,71,74,1762949,1
2020-05-03,421,71,61,1762949,1
2020-05-04,415,69,68,1762949,1
2020-05-05,419,66,63,1762949,1
2020-05-06,412,62,59,1762949,1
2020-05-07,411,62,58,1762949,1
2020-05-08,395,59,55,1762949,1
2020-05-09,379,59,62,1762949,1
2020-05-10,371,57,56,1762949,1
2020-05-11,370,57,61,1762949,1
2020-05-12,350,53,50,1762949,1
2020-05-13,333,52,34,1762949,1
2020-05-14,324,49,57,1762949,1
2020-05-15,316,48,49,1762949,1
2020-05-16,317,46,40,1762949,1
2020-05-17,321,46,35,1762949,1
2020-05-18,318,42,31,1762949,1
2020-05-19,320,42,30,1762949,1
2020-05-20,317,43,46,1762949,1
2020-05-21,308,43,36,1762949,1
2020-05-22,299,41,44,1762949,1
2020-05-23,289,40,27,1762949,1
2020-05-24,276,38,33,1762949,1
2020-05-25,261,38,28,1762949,1
2020-05-26,237,36,30,1762949,1
2020-05-27,221,33,26,1762949,1
2020-05-28,200,30,42,1762949,1
2020-05-29,192,29,28,1762949,1
2020-05-30,183,27,18,1762949,1
2020-05-31,169,26,14,1762949,1
2020-06-01,161,24,21,1762949,1
2020-06-02,151,21,19,1762949,1
2020-06-03,138,19,15,1762949,1
2020-06-04,127,18,6,1762949,1
2020-06-05,116,17,17,1762949,1
2020-06-06,104,17,10,1762949,1
2020-06-07,97,17,8,1762949,1
2020-06-08,90,15,4,1762949,1
2020-06-09,83,15,7,1762949,1
2020-06-10,78,15,5,1762949,1
2020-06-11,73,13,11,1762949,1
2020-06-12,66,13,6,1762949,1
2020-06-13,60,13,8,1762949,1
2020-06-14,56,11,3,1762949,1
2020-06-15,57,10,5,1762949,1
2020-06-16,54,9,3,1762949,1
2020-06-17,51,7,2,1762949,1
2020-06-18,48,7,3,1762949,1
