"Date d'admission","Hors soins intensifs","Aux soins intensifs"
"2020-02-24 00:00:00",3,1
"2020-02-25 00:00:00",0,0
"2020-02-26 00:00:00",1,0
"2020-02-27 00:00:00",1,0
"2020-02-28 00:00:00",1,0
"2020-02-29 00:00:00",1,0
"2020-03-01 00:00:00",1,0
"2020-03-02 00:00:00",1,0
"2020-03-03 00:00:00",0,0
"2020-03-04 00:00:00",1,0
"2020-03-05 00:00:00",4,0
"2020-03-06 00:00:00",2,1
"2020-03-07 00:00:00",2,0
"2020-03-08 00:00:00",2,0
"2020-03-09 00:00:00",1,1
"2020-03-10 00:00:00",2,2
"2020-03-11 00:00:00",3,2
"2020-03-12 00:00:00",1,0
"2020-03-13 00:00:00",1,3
"2020-03-14 00:00:00",5,0
"2020-03-15 00:00:00",1,1
"2020-03-16 00:00:00",2,1
"2020-03-17 00:00:00",2,1
"2020-03-18 00:00:00",3,3
"2020-03-19 00:00:00",3,5
"2020-03-20 00:00:00",9,5
"2020-03-21 00:00:00",7,5
"2020-03-22 00:00:00",11,8
"2020-03-23 00:00:00",9,3
"2020-03-24 00:00:00",10,7
"2020-03-25 00:00:00",13,11
"2020-03-26 00:00:00",19,11
"2020-03-27 00:00:00",14,6
"2020-03-28 00:00:00",17,5
"2020-03-29 00:00:00",24,9
"2020-03-30 00:00:00",31,7
"2020-03-31 00:00:00",30,7
"2020-04-01 00:00:00",28,12
"2020-04-02 00:00:00",32,7
"2020-04-03 00:00:00",33,13
"2020-04-04 00:00:00",33,8
"2020-04-05 00:00:00",32,10
"2020-04-06 00:00:00",37,14
"2020-04-07 00:00:00",55,12
"2020-04-08 00:00:00",46,10
"2020-04-09 00:00:00",35,20
"2020-04-10 00:00:00",46,13
"2020-04-11 00:00:00",43,12
"2020-04-12 00:00:00",44,10
"2020-04-13 00:00:00",41,11
"2020-04-14 00:00:00",58,7
"2020-04-15 00:00:00",65,11
"2020-04-16 00:00:00",52,16
"2020-04-17 00:00:00",69,5
"2020-04-18 00:00:00",57,14
"2020-04-19 00:00:00",45,14
"2020-04-20 00:00:00",57,11
"2020-04-21 00:00:00",68,10
"2020-04-22 00:00:00",62,9
"2020-04-23 00:00:00",52,12
"2020-04-24 00:00:00",56,9
"2020-04-25 00:00:00",40,7
"2020-04-26 00:00:00",51,5
"2020-04-27 00:00:00",66,9
"2020-04-28 00:00:00",56,13
"2020-04-29 00:00:00",55,10
"2020-04-30 00:00:00",58,8
"2020-05-01 00:00:00",63,13
"2020-05-02 00:00:00",35,10
"2020-05-03 00:00:00",51,14
"2020-05-04 00:00:00",56,10
"2020-05-05 00:00:00",60,12
"2020-05-06 00:00:00",44,6
"2020-05-07 00:00:00",49,7
"2020-05-08 00:00:00",35,14
"2020-05-09 00:00:00",32,5
"2020-05-10 00:00:00",34,9
"2020-05-11 00:00:00",53,7
"2020-05-12 00:00:00",38,6
"2020-05-13 00:00:00",25,9
"2020-05-14 00:00:00",32,7
"2020-05-15 00:00:00",42,8
"2020-05-16 00:00:00",28,7
"2020-05-17 00:00:00",34,3
"2020-05-18 00:00:00",21,7
"2020-05-19 00:00:00",30,8
"2020-05-20 00:00:00",37,3
"2020-05-21 00:00:00",37,4
"2020-05-22 00:00:00",27,2
"2020-05-23 00:00:00",22,7
"2020-05-24 00:00:00",23,6
"2020-05-25 00:00:00",19,7
"2020-05-26 00:00:00",28,2
"2020-05-27 00:00:00",18,3
"2020-05-28 00:00:00",11,6
"2020-05-29 00:00:00",21,1
"2020-05-30 00:00:00",12,4
"2020-05-31 00:00:00",14,1
"2020-06-01 00:00:00",21,2
"2020-06-02 00:00:00",11,3
"2020-06-03 00:00:00",15,3
"2020-06-04 00:00:00",10,1
"2020-06-05 00:00:00",13,1
"2020-06-06 00:00:00",9,2
"2020-06-07 00:00:00",14,2
"2020-06-08 00:00:00",9,2
"2020-06-09 00:00:00",8,4
"2020-06-10 00:00:00",9,2
"2020-06-11 00:00:00",3,1
"2020-06-12 00:00:00",13,1
"2020-06-13 00:00:00",9,1
"2020-06-14 00:00:00",1,1
"2020-06-15 00:00:00",4,0
"2020-06-16 00:00:00",6,1
"2020-06-17 00:00:00",7,0
"2020-06-18 00:00:00",6,0
"2020-06-19 00:00:00",7,0
"2020-06-20 00:00:00",5,1
"2020-06-21 00:00:00",8,0
"2020-06-22 00:00:00",3,2
"2020-06-23 00:00:00",2,1
"2020-06-24 00:00:00",8,2
"2020-06-25 00:00:00",2,1
"2020-06-26 00:00:00",3,1
"2020-06-27 00:00:00",3,2
"2020-06-28 00:00:00",1,2
"2020-06-29 00:00:00",3,1
"2020-06-30 00:00:00",5,0
"2020-07-01 00:00:00",4,0
"2020-07-02 00:00:00",4,0
"2020-07-03 00:00:00",4,1
"2020-07-04 00:00:00",3,0
"2020-07-05 00:00:00",0,0
"2020-07-06 00:00:00",2,0
"2020-07-07 00:00:00",5,0
"2020-07-08 00:00:00",1,0
"2020-07-09 00:00:00",4,0
"2020-07-10 00:00:00",3,0
"2020-07-11 00:00:00",3,0
"2020-07-12 00:00:00",0,1
"2020-07-13 00:00:00",2,0
"2020-07-14 00:00:00",4,1
"2020-07-15 00:00:00",4,1
"2020-07-16 00:00:00",1,0
"2020-07-17 00:00:00",4,1
"2020-07-18 00:00:00",0,1
"2020-07-19 00:00:00",0,1
"2020-07-20 00:00:00",2,1
"2020-07-21 00:00:00",2,1
"2020-07-22 00:00:00",2,2
"2020-07-23 00:00:00",2,0
"2020-07-24 00:00:00",3,0
"2020-07-25 00:00:00",0,1
"2020-07-26 00:00:00",1,2
"2020-07-27 00:00:00",2,0
"2020-07-28 00:00:00",1,1
"2020-07-29 00:00:00",6,1
"2020-07-30 00:00:00",2,0
"2020-07-31 00:00:00",1,1
"2020-08-01 00:00:00",1,0
"2020-08-02 00:00:00",0,0
"2020-08-03 00:00:00",2,0
"2020-08-04 00:00:00",2,1
"2020-08-05 00:00:00",1,0
"2020-08-06 00:00:00",4,0
"2020-08-07 00:00:00",1,1
"2020-08-08 00:00:00",0,1
"2020-08-09 00:00:00",0,0
"2020-08-10 00:00:00",2,0
"2020-08-11 00:00:00",2,1
"2020-08-12 00:00:00",0,0
"2020-08-13 00:00:00",0,0
"2020-08-14 00:00:00",0,1
"2020-08-15 00:00:00",2,0
"2020-08-16 00:00:00",0,0
"2020-08-17 00:00:00",1,0
"2020-08-18 00:00:00",1,0
"2020-08-19 00:00:00",1,0
"2020-08-20 00:00:00",1,0
"2020-08-21 00:00:00",1,0
"2020-08-22 00:00:00",1,0
"2020-08-23 00:00:00",4,0
"2020-08-24 00:00:00",2,0
"2020-08-25 00:00:00",3,0
"2020-08-26 00:00:00",5,1
"2020-08-27 00:00:00",0,1
"2020-08-28 00:00:00",0,0
"2020-08-29 00:00:00",1,2
"2020-08-30 00:00:00",1,0
"2020-08-31 00:00:00",1,0
"2020-09-01 00:00:00",1,0
"2020-09-02 00:00:00",1,0
"2020-09-03 00:00:00",2,0
"2020-09-04 00:00:00",2,1
"2020-09-05 00:00:00",1,1
"2020-09-06 00:00:00",1,0
"2020-09-07 00:00:00",4,0
"2020-09-08 00:00:00",3,1
"2020-09-09 00:00:00",0,0
"2020-09-10 00:00:00",5,1
"2020-09-11 00:00:00",2,1
"2020-09-12 00:00:00",3,1
"2020-09-13 00:00:00",4,1
"2020-09-14 00:00:00",3,0
"2020-09-15 00:00:00",1,1
"2020-09-16 00:00:00",4,0
"2020-09-17 00:00:00",1,1
"2020-09-18 00:00:00",4,3
"2020-09-19 00:00:00",4,2
"2020-09-20 00:00:00",2,0
"2020-09-21 00:00:00",1,2
"2020-09-22 00:00:00",1,0
"2020-09-23 00:00:00",3,2
"2020-09-24 00:00:00",10,4
"2020-09-25 00:00:00",7,1
"2020-09-26 00:00:00",5,2
"2020-09-27 00:00:00",5,0
"2020-09-28 00:00:00",7,1
"2020-09-29 00:00:00",9,4
"2020-09-30 00:00:00",11,2
"2020-10-01 00:00:00",9,4
"2020-10-02 00:00:00",11,4
"2020-10-03 00:00:00",10,3
"2020-10-04 00:00:00",18,2
"2020-10-05 00:00:00",12,3
"2020-10-06 00:00:00",18,7
"2020-10-07 00:00:00",9,6
"2020-10-08 00:00:00",12,0
"2020-10-09 00:00:00",5,5
"2020-10-10 00:00:00",13,6
"2020-10-11 00:00:00",12,4
"2020-10-12 00:00:00",8,1
"2020-10-13 00:00:00",11,3
"2020-10-14 00:00:00",8,5
"2020-10-15 00:00:00",15,0
"2020-10-16 00:00:00",10,6
"2020-10-17 00:00:00",12,3
"2020-10-18 00:00:00",12,4
"2020-10-19 00:00:00",10,4
"2020-10-20 00:00:00",12,3
"2020-10-21 00:00:00",11,1
"2020-10-22 00:00:00",10,3
