date,dailyCases,dailyHosp,dailyDeaths,Population,peak
2/29/2020,1,1,0,8804190,NA
3/1/2020,0.5,1,0,8804190,NA
3/2/2020,0.333333333,1.333333333,0,8804190,1
3/3/2020,0.5,2.75,0,8804190,1
3/4/2020,1.4,2.6,0,8804190,1
3/5/2020,1.666666667,4.5,0,8804190,1
3/6/2020,2.571428571,5,0,8804190,1
3/7/2020,3.428571429,6,0,8804190,1
3/8/2020,6.428571429,8.428571429,0,8804190,1
3/9/2020,14.57142857,13.28571429,0,8804190,1
3/10/2020,24.28571429,20.85714286,0,8804190,1
3/11/2020,45.71428571,31.85714286,0.142857143,8804190,1
3/12/2020,96,44.85714286,0.142857143,8804190,1
3/13/2020,183.2857143,65.28571429,0.142857143,8804190,1
3/14/2020,274,89.28571429,0.428571429,8804190,1
3/15/2020,418.7142857,116.7142857,1,8804190,1
3/16/2020,713.5714286,159.8571429,2,8804190,1
3/17/2020,1053.857143,205.8571429,3.142857143,8804190,1
3/18/2020,1456.142857,264.8571429,5.857142857,8804190,1
3/19/2020,1934.857143,340,9.285714286,8804190,1
3/20/2020,2418.857143,423.1428571,16,8804190,1
3/21/2020,2704.142857,502.5714286,22,8804190,1
3/22/2020,2925,582.7142857,28.42857143,8804190,1
3/23/2020,3132,696.1428571,39.14285714,8804190,1
3/24/2020,3424.285714,826.2857143,51.57142857,8804190,1
3/25/2020,3696.142857,958.7142857,66.57142857,8804190,1
3/26/2020,3887.285714,1087,89.71428571,8804190,1
3/27/2020,4046.142857,1206,114,8804190,1
3/28/2020,4166.142857,1298,146.5714286,8804190,1
3/29/2020,4306.142857,1402.285714,181,8804190,1
3/30/2020,4671.714286,1504.285714,215.4285714,8804190,1
3/31/2020,4809,1573.857143,257.2857143,8804190,1
4/1/2020,4891,1618.714286,303.2857143,8804190,1
4/2/2020,4991.285714,1637.142857,348,8804190,1
4/3/2020,5070,1655.571429,388.2857143,8804190,1
4/4/2020,5125.285714,1664.428571,422.4285714,8804190,1
4/5/2020,5156.857143,1648.428571,463.5714286,8804190,1
4/6/2020,5188.857143,1632.285714,499.7142857,8804190,1
