date,dailyCases,dailyHosp,dailyDeaths,Population,peak
2020-02-29,1,1,0,8804190,NA
2020-03-01,1,1,0,8804190,NA
2020-03-02,1,2,0,8804190,1
2020-03-03,1,3,0,8804190,1
2020-03-04,2,3,0,8804190,1
2020-03-05,2,5,0,8804190,1
2020-03-06,3,5,0,8804190,1
2020-03-07,4,6,0,8804190,1
2020-03-08,7,9,0,8804190,1
2020-03-09,15,14,0,8804190,1
2020-03-10,25,21,0,8804190,1
2020-03-11,46,32,1,8804190,1
2020-03-12,96,45,0,8804190,1
2020-03-13,184,66,0,8804190,1
2020-03-14,274,90,3,8804190,1
2020-03-15,419,118,4,8804190,1
2020-03-16,714,161,9,8804190,1
2020-03-17,1054,207,12,8804190,1
2020-03-18,1457,266,24,8804190,1
2020-03-19,1935,341,27,8804190,1
2020-03-20,2419,425,49,8804190,1
2020-03-21,2705,505,51,8804190,1
2020-03-22,2925,585,52,8804190,1
2020-03-23,3132,698,96,8804190,1
2020-03-24,3425,829,107,8804190,1
2020-03-25,3696,964,143,8804190,1
2020-03-26,3888,1093,229,8804190,1
2020-03-27,4046,1214,262,8804190,1
2020-03-28,4166,1308,323,8804190,1
2020-03-29,4306,1413,356,8804190,1
2020-03-30,4672,1517,414,8804190,1
2020-03-31,4809,1591,476,8804190,1
2020-04-01,4891,1638,556,8804190,1
2020-04-02,4992,1660,676,8804190,1
2020-04-03,5070,1678,676,8804190,1
2020-04-04,5126,1687,715,8804190,1
2020-04-05,5157,1672,758,8804190,1
2020-04-06,5189,1657,816,8804190,1
2020-04-07,5273,1625,831,8804190,1
2020-04-08,5291,1595,782,8804190,1
2020-04-09,5195,1548,767,8804190,1
2020-04-10,5029,1488,742,8804190,1
2020-04-11,5010,1429,730,8804190,1
2020-04-12,4882,1364,754,8804190,1
2020-04-13,4447,1279,768,8804190,1
2020-04-14,4176,1192,659,8804190,1
2020-04-15,3933,1093,578,8804190,1
2020-04-16,3713,1012,555,8804190,1
2020-04-17,3581,940,489,8804190,1
2020-04-18,3358,874,513,8804190,1
2020-04-19,3281,814,494,8804190,1
2020-04-20,3349,741,465,8804190,1
2020-04-21,3195,684,426,8804190,1
2020-04-22,3133,634,399,8804190,1
2020-04-23,3035,587,415,8804190,1
2020-04-24,2885,542,380,8804190,1
2020-04-25,2802,505,325,8804190,1
2020-04-26,2611,472,300,8804190,1
2020-04-27,2396,434,322,8804190,1
2020-04-28,2348,401,267,8804190,1
2020-04-29,2190,371,274,8804190,1
2020-04-30,2073,343,253,8804190,1
2020-05-01,1980,313,256,8804190,1
2020-05-02,1904,296,224,8804190,1
2020-05-03,1873,283,210,8804190,1
2020-05-04,1767,265,195,8804190,1
2020-05-05,1594,244,169,8804190,1
2020-05-06,1459,230,182,8804190,1
2020-05-07,1347,219,159,8804190,1
2020-05-08,1232,205,155,8804190,1
2020-05-09,1175,193,110,8804190,1
2020-05-10,1127,177,114,8804190,1
2020-05-11,1082,168,120,8804190,1
2020-05-12,1050,154,108,8804190,1
2020-05-13,1040,142,92,8804190,1
2020-05-14,1022,137,86,8804190,1
2020-05-15,993,132,98,8804190,1
2020-05-16,968,127,100,8804190,1
2020-05-17,954,124,89,8804190,1
2020-05-18,906,114,67,8804190,1
2020-05-19,866,114,64,8804190,1
2020-05-20,829,107,84,8804190,1
2020-05-21,823,99,51,8804190,1
2020-05-22,847,95,79,8804190,1
2020-05-23,842,92,64,8804190,1
2020-05-24,858,93,54,8804190,1
2020-05-25,796,89,53,8804190,1
2020-05-26,803,83,42,8804190,1
